Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2020-07-02,"Présentation ambitions de Total pour le Green Deal",Videoconference,"Cabinet of Commissioner Thierry Breton","Internal Market","Valere Moutarlier (Cabinet member)",
2020-08-25,"Meeting with Mr Laurent Maurel, Vice President European Public Affairs Total",Video-Call,"Cabinet of Commissioner Adina Vălean",Transport,"Filip Alexandru Negreanu Arboreanu (Cabinet member)",
2021-01-27,"Climate neutrality",video-call,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Antoine Colombani (Cabinet member)",
2021-03-03,"Roundtable with transport value chain alliance - Transformation of the automotive value chain in the context of green recovery
","video call","Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Daniel Mes (Cabinet member)","Robert Bosch GmbH,Rud Pedersen Public Affairs Brussels,MAHLE International GmbH,ZF Friedrichshafen AG,Mercedes-Benz Group AG,Bayerische Motoren Werke Aktiengesellschaft"
2021-03-03,"Roundtable with transport value chain alliance - Transformation of the automotive value chain in the context of green recovery.",Videoconference,"Cabinet of Commissioner Nicolas Schmit","Jobs and Social Rights","Anouk Faber (Cabinet member),Christoph Nerlich (Cabinet member)","Robert Bosch GmbH,ZF Friedrichshafen AG,MAHLE International GmbH,Mercedes-Benz Group AG,ZF Friedrichshafen AG,Bayerische Motoren Werke Aktiengesellschaft,MAHLE International GmbH,Robert Bosch GmbH,Mercedes-Benz Group AG,Bayerische Motoren Werke Aktiengesellschaft"
2021-03-16,"Sustainable Aviation Fuels 
","Conference call","Cabinet of Commissioner Adina Vălean",Transport,"Filip Alexandru Negreanu Arboreanu (Cabinet member),Gaëlle Michelier (Cabinet member)",
2022-03-08,"Discussion on energy/comp related matters",Brussels,,Competition,"Olivier Guersent (Director-General)",
2022-05-17,"Discussion on security of supply, diversification, energy prices and the energy transition.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)",
2022-09-16,"SOTEU, energy, RepowerEU, Recovery and Resilience Facility",Brussels,"Cabinet of President Ursula von der Leyen",President,"Florentine Hopmeier (Cabinet member)","Mouvement des Entreprises de France,Orange,Fédération bancaire française,L'Oréal,Manufacture Française des Pneumatiques Michelin,BOUYGUES EUROPE,Airbus,AIR LIQUIDE,Danone,Alstom,Schneider Electric"
2022-10-13,"Reducing dependence on Russian gas, exploitation of the resources in the EEZ of Cyprus, energy security strategy of the EU incl. EU platform for the common purchase of gas, LNG and hydrogen.","Nicosia, Cyprus","Cabinet of Commissioner Kadri Simson",Energy,"Helena Hinto (Cabinet member),Kadri Simson (Commissioner)","Eni S.p.A.,ExxonMobil Petroleum & Chemical,Chevron Belgium BV,Eni S.p.A.,ExxonMobil Petroleum & Chemical,Chevron Belgium BV"
2022-10-25,"Green Deal state of play",Brussels,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Antoine Colombani (Cabinet member)","UNION FRANCAISE DE L'ELECTRICITE - UFE,RTE Réseau de transport d'électricité,ELECTRICITE DE FRANCE,Commissariat à l'Energie atomique et aux énergies alternatives,Veolia Environnement,Société nationale SNCF,Groupe ADP,RENAULT,Cercle des Réseaux européens,Orano,LA POSTE,ENGIE,Transdev Group,Gaz Réseau Distribution France,Teréga,TotalEnergies Electricité et Gaz France,CAISSE DES DEPOTS,BOUYGUES EUROPE"
2022-12-20,"Energy Platform. Bulgargaz, Geoplin, Enovos, Eesti Gaas, GALP, EPH, SPP and Conexus Baltic Grid participated as well.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)","Polski Koncern Naftowy Orlen S.A.,Fluxys SA,Ørsted A/S,N.V. Nederlandse Gasunie,Gasum Oy,ENGIE,Naftogaz of Ukraine,Galp Energia, SGPS, SA,MVM Energetika Ltd.,OMV Aktiengesellschaft,Ignitis grupė,Snam S.p.A.,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Shell Companies,NATURGY ENERGY GROUP,ΔΙΑΧΕΙΡΙΣΤΗΣ ΕΘΝΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ Α.Ε.,Equinor ASA,Repsol, S.A."
2022-12-20,"EU Energy Platform; Bulgargaz, SPP, EPH, DEPA, Geoplin, Eesti Gaas, Enovos, DEFA, Conexus Baltic Grid, GOGC participated as well.",Videoconference,"Cabinet of Vice-President Maroš Šefčovič","Interinstitutional Relations and Foresight","Adam Romanowski (Cabinet member),Maroš Šefčovič (Executive Vice-President),Maroš Šefčovič (Vice-President)","ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Snam S.p.A.,Galp Energia, SGPS, SA,ENGIE,Ørsted A/S,N.V. Nederlandse Gasunie,Shell Companies,OMV Aktiengesellschaft,NATURGY ENERGY GROUP,Polski Koncern Naftowy Orlen S.A.,Equinor ASA,Repsol, S.A.,Gasum Oy,ΔΙΑΧΕΙΡΙΣΤΗΣ ΕΘΝΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ Α.Ε.,ENGIE,N.V. Nederlandse Gasunie,Ignitis grupė,MVM Energetika Ltd.,Fluxys SA,Ørsted A/S,Shell Companies,Naftogaz of Ukraine,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,MVM Energetika Ltd.,OMV Aktiengesellschaft,Galp Energia, SGPS, SA,Equinor ASA,Repsol, S.A.,NATURGY ENERGY GROUP,Snam S.p.A.,Polski Koncern Naftowy Orlen S.A.,Ørsted A/S,ΔΙΑΧΕΙΡΙΣΤΗΣ ΕΘΝΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ Α.Ε.,ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Fluxys SA,Gasum Oy,ENGIE,Galp Energia, SGPS, SA,N.V. Nederlandse Gasunie,Ignitis grupė,Repsol, S.A.,Polski Koncern Naftowy Orlen S.A.,Shell Companies,Naftogaz of Ukraine,Equinor ASA,OMV Aktiengesellschaft,Gasum Oy,Naftogaz of Ukraine,Ignitis grupė,NATURGY ENERGY GROUP,MVM Energetika Ltd.,Snam S.p.A.,Fluxys SA,ΔΙΑΧΕΙΡΙΣΤΗΣ ΕΘΝΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ Α.Ε."
2022-12-20,"Energy Platform. Bulgargaz, SPP, EPH, DEPA, Geoplin, Eesti Gaas, Enovos, DEFA, Conexus Baltic Grid and GOGC participated as well.",videoconference,,Energy,"Ditte Juul Jørgensen (Director-General)","ENERGIA NATURALIS d.o.o. za ulaganje i upravljanje,Naftogaz of Ukraine,Galp Energia, SGPS, SA,Ignitis grupė,ENGIE,Repsol, S.A.,MVM Energetika Ltd.,Polski Koncern Naftowy Orlen S.A.,Fluxys SA,OMV Aktiengesellschaft,ΔΙΑΧΕΙΡΙΣΤΗΣ ΕΘΝΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ Α.Ε.,Shell Companies,NATURGY ENERGY GROUP,Equinor ASA,Ørsted A/S,N.V. Nederlandse Gasunie,Gasum Oy,Snam S.p.A."
2023-02-16,"Critical Raw Materials package",Brussels,"Cabinet of Executive Vice-President Valdis Dombrovskis","An Economy that Works for People","Valdis Dombrovskis (Executive Vice-President)","SEV - Hellenic Federation of Enterprises,TUSIAD-Turkish Industry&Business Association,Confederation of Norwegian Enterprise,ExxonMobil Petroleum & Chemical,TURKISH EMPLOYERS' ASSOCIATION OF METAL INDUSTRIES,Vereniging VNO-NCW,Bundesverband der Deutschen Industrie e.V.,Mouvement des Entreprises de France,EESTI TÖÖANDJATE KESKLIIT MTÜ,Confederazione Generale dell'Industria Italiana,OMV Aktiengesellschaft,SAFRAN,BASF SE,The Malta Chamber of Commerce, Enterprise and Industry,Eni S.p.A.,Manufacture Française des Pneumatiques Michelin,Stora Enso Oyj,Stellantis,Mercedes-Benz Group AG,Lithuanian Confederation of Industrialists,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE,Associação Portuguesa das Empresas do Sector Eléctrico e Electrónico,Viohalco SA,BUSINESSEUROPE,Confederation of Swedish Enterprise,Caterpillar Distribution Services Europe bv,Croatian Employers' Association,Norsk Hydro,Slovenska bankova asociacia,ENGIE,Ibec,ArcelorMittal"
2023-04-25,"TotalEnergies’ commitments and solutions to scale-up biomethane production in Europe",Brussels,"Cabinet of Commissioner Janusz Wojciechowski",Agriculture,"Jorge Pinto Antunes (Cabinet member)",NOVE
2023-04-27,"Electricity market design",video-call,"Cabinet of Executive Vice-President Frans Timmermans","European Green Deal","Aleksandra Tomczak (Cabinet member)",
2023-05-25,"Presentation of TotalEnergies investments in renewable and decarbonised energies",Brussels,"Cabinet of Commissioner Kadri Simson",Energy,"Ruud Kempener (Cabinet member),Stefano Grassi (Cabinet member)","NOVE,NOVE"
2023-06-14,"Exchange of views on decarbonization and TotalEnergies commitments","Brussels, Belgium",,Environment,"Florika Fink-Hooijer (Director-General)",
2023-07-05,"Electricity market design reform, hydrogen strategy",Brussels,"Cabinet of Commissioner Thierry Breton","Internal Market","Joan Canton (Cabinet member)",
2023-07-05,"EU Energy Platform",Brussels,"Cabinet of Vice-President Maroš Šefčovič","Interinstitutional Relations and Foresight","Adam Romanowski (Cabinet member),Maroš Šefčovič (Executive Vice-President),Maroš Šefčovič (Vice-President)",
